cep_inicial;cep_final
36430000;36439999
95250000;95254999
95500000;95514999
62850000;62859999
57920000;57924999
11330020;11330020
98530000;98534999
98535000;98539999
63190000;63194999
59970000;59979999
47700000;47729999
86000001;86124999
39707000;39707999
89875000;89877999
36275000;36279999
45340000;45344999
55670000;55674999
95720000;95725999
57680000;57689999
59235000;59239999
57860000;57889999
55570000;55577999
98450000;98459999
69240000;69249999
39429201;39429999
29335000;29341999
68521000;68522999
89249000;89249999
58675000;58679999
33000000;33199999
89865000;89867999
46500000;46529999
13860000;13860999
55680000;55689999
45780000;45789999
98130000;98139999
63750000;63779999
37980000;37989999
18490000;18499999
64710000;64719999
38870000;38879999
78460000;78549999
2319000;2324999
3814130;3816120
11085801;11085999
68180001;68187999
28860000;28860999
78243000;78243999
37795000;37795999
55200000;55239999
29662000;29664999
84600001;84612999
92870000;92899999
68670000;68674999
87910000;87914999
86780000;86789999
63515000;63519999
15385000;15389999
14180000;14199969
68524000;68524000
87190000;87199999
2169311;2173999
15135000;15139999
38200000;38209999
11443040;11443050
63540000;63559999
42840562;42840562
36920000;36922999
16000000;16129999
13820000;13824999
85225000;85229999
36840000;36843999
48895000;48899999
11090050;11090050
36223000;36224999
77993000;77994999
75470000;75479999
96290000;96299999
2300000;2317999
89180000;89181999
88200000;88209999
28300000;28300999
99260000;99264999
7400000;7499999
68774000;68774999
57920000;57920999
1300000;1399999
11330300;11330320
39995000;39997999
57255000;57256999
88543000;88544999
11088091;11088139
85960000;85979999
37144000;37144999
86845000;86847999
18385000;18399999
11462045;11462045
89636000;89637999
68500000;68506970
64655000;64659999
64778000;64779999
88410000;88419999
40720696;40720696
86640000;86649999
96690000;96699999
41311003;41311003
40391164;40391164
85900000;85928999
95995000;95996999
76867000;76867999
35908000;35909999
29238000;29239999
48700000;48704999
99835000;99837999
11350460;11350460
89380000;89399999
55415000;55419999
59343000;59346999
88965000;88969999
57840000;57859999
48870000;48879999
79190971;79199999
11090031;11090049
53600001;53689999
36462000;36464999
56170000;56179999
18950000;18959999
18660000;18669999
65962000;65969999
95795000;95799999
15425000;15429999
69140000;69149999
59318000;59319999
64370000;64374999
85990000;85997999
88260000;88269999
83200000;83254999
39516000;39516999
64615000;64617999
93200001;93249999
58695000;58697999
25871000;25899999
11085560;11085580
85195000;85199999
44900000;44904999
95793000;95794999
13960000;13969999
29785000;29789999
38160000;38169999
39590000;39591999
58337000;58337999
98250000;98269999
47530000;47559999
35401000;35419999
55190000;55199999
88470000;88474999
69860000;69869999
58978000;58979999
55440000;55449999
18240000;18244999
69934000;69934999
59300000;59309999
65260000;65262999
58292000;58293999
58994000;58994999
65670000;65679999
38175000;38177999
48435000;48439999
48440000;48444999
76933000;76933999
64395000;64395999
96600000;96609999
75555000;75569999
58750000;58752999
65165000;65169999
39640000;39641999
59219000;59219999
63240000;63249999
77980000;77984999
65490000;65494999
96990000;96999999
99260000;99264999
68722000;68724999
58760000;58762999
58978000;58979999
